book-precision,book-recall,book-f1,desk-precision,desk-recall,desk-f1,electricKettle-precision,electricKettle-recall,electricKettle-f1,glass-precision,glass-recall,glass-f1,wall-precision,wall-recall,wall-f1,whiteboard-precision,whiteboard-recall,whiteboard-f1,total-accuracy
1.0,1.0,1.0,1.0,0.9523809523809523,0.975609756097561,1.0,1.0,1.0,0.84,1.0,0.9130434782608696,1.0,0.8571428571428571,0.923076923076923,1.0,1.0,1.0,96.82539682539682%
0.9130434782608695,1.0,0.9545454545454545,0.9444444444444444,0.8095238095238095,0.8717948717948718,1.0,0.9523809523809523,0.975609756097561,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.8636363636363636,0.9047619047619048,0.8837209302325582,1.0,0.9523809523809523,0.975609756097561,90.47619047619048%
1.0,1.0,1.0,0.9473684210526315,0.8571428571428571,0.9,1.0,0.9523809523809523,0.975609756097561,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.7916666666666666,0.9047619047619048,0.8444444444444444,1.0,0.9523809523809523,0.975609756097561,92.06349206349206%
1.0,1.0,1.0,0.9473684210526315,0.8571428571428571,0.9,1.0,0.9047619047619048,0.9500000000000001,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.8,0.9523809523809523,0.8695652173913043,1.0,0.9523809523809523,0.975609756097561,92.85714285714286%
0.9130434782608695,1.0,0.9545454545454545,0.9473684210526315,0.8571428571428571,0.9,1.0,1.0,1.0,0.8695652173913043,0.9523809523809523,0.909090909090909,0.95,0.9047619047619048,0.9268292682926829,1.0,0.9523809523809523,0.975609756097561,94.44444444444444%
1.0,0.9523809523809523,0.975609756097561,0.95,0.9047619047619048,0.9268292682926829,1.0,0.9523809523809523,0.975609756097561,0.7692307692307693,0.9523809523809523,0.8510638297872339,0.95,0.9047619047619048,0.9268292682926829,1.0,0.9523809523809523,0.975609756097561,93.65079365079364%
1.0,1.0,1.0,1.0,0.9523809523809523,0.975609756097561,0.9545454545454546,1.0,0.9767441860465117,0.875,1.0,0.9333333333333333,1.0,0.8571428571428571,0.923076923076923,1.0,1.0,1.0,96.82539682539682%
1.0,1.0,1.0,1.0,0.9523809523809523,0.975609756097561,1.0,0.9523809523809523,0.975609756097561,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,96.03174603174604%
0.9545454545454546,1.0,0.9767441860465117,0.9473684210526315,0.8571428571428571,0.9,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.975609756097561,92.06349206349206%
1.0,1.0,1.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.975609756097561,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9473684210526315,0.8571428571428571,0.9,0.9545454545454546,1.0,0.9767441860465117,92.85714285714286%
1.0,1.0,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.975609756097561,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.7692307692307693,0.9523809523809523,0.8510638297872339,1.0,1.0,1.0,93.65079365079364%
1.0,0.9523809523809523,0.975609756097561,0.9090909090909091,0.9523809523809523,0.9302325581395349,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,95.23809523809523%
1.0,1.0,1.0,1.0,0.9523809523809523,0.975609756097561,1.0,0.9523809523809523,0.975609756097561,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9,0.8571428571428571,0.8780487804878048,0.9545454545454546,1.0,0.9767441860465117,94.44444444444444%
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.975609756097561,96.03174603174604%
0.9130434782608695,1.0,0.9545454545454545,0.9545454545454546,1.0,0.9767441860465117,1.0,1.0,1.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9090909090909091,0.9523809523809523,0.9302325581395349,1.0,0.9523809523809523,0.975609756097561,95.23809523809523%
1.0,1.0,1.0,0.95,0.9047619047619048,0.9268292682926829,1.0,0.9523809523809523,0.975609756097561,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9545454545454546,1.0,0.9767441860465117,95.23809523809523%
0.9545454545454546,1.0,0.9767441860465117,1.0,0.9523809523809523,0.975609756097561,1.0,1.0,1.0,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.8333333333333334,0.9523809523809523,0.888888888888889,1.0,0.9523809523809523,0.975609756097561,94.44444444444444%
1.0,1.0,1.0,0.95,0.9047619047619048,0.9268292682926829,0.9545454545454546,1.0,0.9767441860465117,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.8695652173913043,0.9523809523809523,0.909090909090909,1.0,1.0,1.0,94.44444444444444%
0.9545454545454546,1.0,0.9767441860465117,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.975609756097561,1.0,0.9047619047619048,0.9500000000000001,0.9130434782608695,1.0,0.9545454545454545,0.9523809523809523,0.9523809523809523,0.9523809523809523,96.03174603174604%
